region,event_type,event_year,threshold_percent,event_date
Foxe Basin,freeze-up,2000,90.0,2000-12-27 23:36:33.851717
Foxe Basin,break-up,2001,10.0,2001-08-19 03:29:21.373390
Foxe Basin,break-up,2001,50.0,2001-07-12 04:43:33.266583
Foxe Basin,break-up,2001,90.0,2001-04-30 11:25:41.174064
Foxe Basin,freeze-up,2001,10.0,2001-10-29 02:03:41.134825
Foxe Basin,freeze-up,2001,50.0,2001-11-14 11:06:47.217210
Foxe Basin,freeze-up,2001,90.0,2001-12-09 00:13:47.359781
Foxe Basin,break-up,2002,10.0,2002-08-12 23:12:27.523892
Foxe Basin,break-up,2002,50.0,2002-07-12 19:45:52.941176
Foxe Basin,break-up,2002,90.0,2002-06-10 06:10:01.284796
Foxe Basin,freeze-up,2002,10.0,2002-11-08 19:35:35.270805
Foxe Basin,freeze-up,2002,50.0,2002-11-22 01:09:58.006644
Foxe Basin,freeze-up,2002,90.0,2002-12-24 03:46:09.388920
Foxe Basin,break-up,2003,10.0,2003-08-08 19:09:26.037735
Foxe Basin,break-up,2003,50.0,2003-07-06 05:23:36.683022
Foxe Basin,break-up,2003,90.0,2003-05-05 00:32:12.569558
Foxe Basin,freeze-up,2003,10.0,2003-11-02 02:54:07.058823
Foxe Basin,freeze-up,2003,50.0,2003-11-28 11:38:07.559961
Foxe Basin,freeze-up,2003,90.0,2003-12-30 01:35:26.896551
Foxe Basin,break-up,2004,10.0,2004-08-19 13:41:16.867418
Foxe Basin,break-up,2004,50.0,2004-07-13 18:08:09.672544
Foxe Basin,break-up,2004,90.0,2004-06-08 02:30:33.780160
Foxe Basin,freeze-up,2004,10.0,2004-10-28 02:20:37.082818
Foxe Basin,freeze-up,2004,50.0,2004-11-06 08:53:43.699713
Foxe Basin,freeze-up,2004,90.0,2004-12-16 07:41:33.067947
Foxe Basin,break-up,2005,10.0,2005-07-30 22:06:12.752043
Foxe Basin,break-up,2005,50.0,2005-07-06 15:29:35.944218
Foxe Basin,break-up,2005,90.0,2005-05-19 17:40:46.975088
Foxe Basin,freeze-up,2005,10.0,2005-11-03 11:12:14.004862
Foxe Basin,freeze-up,2005,50.0,2005-11-19 23:04:27.768595
Foxe Basin,freeze-up,2005,90.0,2005-12-22 00:33:17.890466
Foxe Basin,break-up,2006,10.0,2006-07-27 17:25:03.235747
Foxe Basin,break-up,2006,50.0,2006-06-18 10:30:20.156090
Foxe Basin,break-up,2006,90.0,2006-04-29 01:56:16.661742
Foxe Basin,freeze-up,2006,10.0,2006-11-10 08:18:45.131195
Foxe Basin,freeze-up,2006,50.0,2006-11-30 01:42:53.105134
Foxe Basin,freeze-up,2006,90.0,2007-01-05 16:51:37.358490
Foxe Basin,break-up,2007,10.0,2007-08-14 17:38:15.302013
Foxe Basin,break-up,2007,50.0,2007-07-08 01:57:18.202247
Foxe Basin,break-up,2007,90.0,2007-05-04 04:08:46.765664
Foxe Basin,freeze-up,2007,10.0,2007-10-30 02:56:32.876712
Foxe Basin,freeze-up,2007,50.0,2007-11-12 13:04:00.988671
Foxe Basin,freeze-up,2007,90.0,2007-12-15 00:21:57.647058
Foxe Basin,break-up,2008,10.0,2008-08-19 10:32:15.894039
Foxe Basin,break-up,2008,50.0,2008-07-12 09:54:26.385846
Foxe Basin,break-up,2008,90.0,2008-06-06 09:31:26.285952
Foxe Basin,freeze-up,2008,10.0,2008-10-28 06:37:24.389027
Foxe Basin,freeze-up,2008,50.0,2008-11-07 03:11:18.070973
Foxe Basin,freeze-up,2008,90.0,2008-12-11 04:22:58.124999
Foxe Basin,break-up,2009,10.0,2009-08-06 06:03:40.408163
Foxe Basin,break-up,2009,50.0,2009-07-05 18:09:12.931461
Foxe Basin,break-up,2009,90.0,2009-05-23 23:22:00.000000
Foxe Basin,freeze-up,2009,10.0,2009-10-23 12:48:12.203389
Foxe Basin,freeze-up,2009,50.0,2009-11-06 01:24:18.859784
Foxe Basin,freeze-up,2009,90.0,2010-01-21 13:26:05.767878
Foxe Basin,break-up,2010,10.0,2010-08-04 13:02:35.725190
Foxe Basin,break-up,2010,50.0,2010-07-04 17:56:31.991890
Foxe Basin,break-up,2010,90.0,2010-05-08 16:07:29.234259
Foxe Basin,freeze-up,2010,10.0,2010-11-21 03:58:21.873935
Foxe Basin,freeze-up,2010,50.0,2010-12-09 04:57:26.971307
Foxe Basin,freeze-up,2010,90.0,2011-01-27 23:16:21.818181
Foxe Basin,break-up,2011,10.0,2011-08-11 04:40:31.815561
Foxe Basin,break-up,2011,50.0,2011-07-06 15:17:17.480314
Foxe Basin,break-up,2011,90.0,2011-05-12 02:00:24.790949
Foxe Basin,freeze-up,2011,10.0,2011-11-03 01:45:00.994475
Foxe Basin,freeze-up,2011,50.0,2011-11-22 19:24:23.020948
Foxe Basin,freeze-up,2011,90.0,2011-12-28 11:32:58.156996
Foxe Basin,break-up,2012,10.0,2012-08-11 08:58:15.596133
Foxe Basin,break-up,2012,50.0,2012-07-08 09:37:44.900662
Foxe Basin,break-up,2012,90.0,2012-05-14 18:40:29.179331
Foxe Basin,freeze-up,2012,10.0,2012-11-05 13:33:15.180722
Foxe Basin,freeze-up,2012,50.0,2012-11-19 08:39:48.593155
Foxe Basin,freeze-up,2012,90.0,2012-12-31 02:52:18.461538
Foxe Basin,break-up,2013,10.0,2013-08-14 16:18:29.399075
Foxe Basin,break-up,2013,50.0,2013-07-09 17:54:11.880276
Foxe Basin,break-up,2013,90.0,2013-05-27 10:43:35.510204
Foxe Basin,freeze-up,2013,10.0,2013-10-26 21:22:03.472668
Foxe Basin,freeze-up,2013,50.0,2013-11-11 12:56:09.435637
Foxe Basin,freeze-up,2013,90.0,2013-12-17 05:40:41.201716
Foxe Basin,break-up,2014,10.0,2014-08-10 12:12:02.408026
Foxe Basin,break-up,2014,50.0,2014-07-13 04:28:25.458290
Foxe Basin,break-up,2014,90.0,2014-06-07 03:55:42.276281
Foxe Basin,freeze-up,2014,10.0,2014-10-23 12:35:25.714285
Foxe Basin,freeze-up,2014,50.0,2014-11-12 13:01:48.584686
Foxe Basin,freeze-up,2014,90.0,2014-12-15 23:50:38.353196
Foxe Basin,break-up,2015,10.0,2015-08-30 22:27:23.729903
Foxe Basin,break-up,2015,50.0,2015-07-16 05:18:45.831373
Foxe Basin,break-up,2015,90.0,2015-05-17 02:36:15.766423
Foxe Basin,freeze-up,2015,10.0,2015-10-25 00:53:42.647283
Foxe Basin,freeze-up,2015,50.0,2015-11-03 05:09:07.976878
Foxe Basin,freeze-up,2015,90.0,2015-12-03 18:51:16.834532
Foxe Basin,break-up,2016,10.0,2016-08-05 20:12:01.535181
Foxe Basin,break-up,2016,50.0,2016-07-05 02:05:47.327249
Foxe Basin,break-up,2016,90.0,2016-05-06 07:01:33.913043
Foxe Basin,freeze-up,2016,10.0,2016-10-26 12:34:34.670797
Foxe Basin,freeze-up,2016,50.0,2016-11-20 01:30:45.569620
Foxe Basin,freeze-up,2016,90.0,2016-12-20 10:25:52.461799
Foxe Basin,break-up,2017,10.0,2017-08-03 12:55:09.923664
Foxe Basin,break-up,2017,50.0,2017-07-04 13:04:41.739130
Foxe Basin,break-up,2017,90.0,2017-05-14 02:25:44.939271
Foxe Basin,freeze-up,2017,10.0,2017-10-27 17:57:27.032967
Foxe Basin,freeze-up,2017,50.0,2017-11-24 11:30:34.229508
Foxe Basin,freeze-up,2017,90.0,2017-12-21 02:08:01.918081
Foxe Basin,break-up,2018,10.0,2018-08-18 17:45:32.009237
Foxe Basin,break-up,2018,50.0,2018-07-11 09:15:58.427635
Foxe Basin,break-up,2018,90.0,2018-05-17 04:25:15.789473
Foxe Basin,freeze-up,2018,10.0,2018-10-16 15:37:34.945054
Foxe Basin,freeze-up,2018,50.0,2018-11-03 17:23:17.665712
Foxe Basin,freeze-up,2018,90.0,2018-12-23 21:55:51.724137
Foxe Basin,break-up,2019,10.0,2019-07-19 20:50:32.239326
Foxe Basin,break-up,2019,50.0,2019-06-27 01:01:55.345699
Foxe Basin,break-up,2019,90.0,2019-04-30 03:50:37.499999
Foxe Basin,freeze-up,2019,10.0,2019-11-13 21:50:07.058823
Foxe Basin,freeze-up,2019,50.0,2019-12-03 01:16:27.133041
Foxe Basin,freeze-up,2019,90.0,2020-01-04 02:00:29.032258
Foxe Basin,break-up,2020,10.0,2020-08-07 14:44:18.012170
Foxe Basin,break-up,2020,50.0,2020-07-03 07:44:17.248338
Foxe Basin,break-up,2020,90.0,2020-05-08 21:05:13.588850
Foxe Basin,freeze-up,2020,10.0,2020-11-04 03:28:01.504702
Foxe Basin,freeze-up,2020,50.0,2020-11-19 21:42:46.389024
