region,year,relative_mean_coverage_percent,absolute_mean_coverage_percent,relative_mean_ice_area_km2,absolute_mean_ice_area_km2
Gulf of Boothia,1980,86.88938091430096,97.11781953885112,89061.61543715847,99545.7650273224
Gulf of Boothia,1981,80.88588706982961,92.13164049448714,82908.03424657535,94434.93150684932
Gulf of Boothia,1982,86.87484797861677,97.51419979953225,89046.71917808219,99952.05479452055
Gulf of Boothia,1983,85.23517875041765,95.93050451052456,87366.05821917808,98328.76712328767
Gulf of Boothia,1984,80.74555511128881,92.58296681327468,82764.19398907103,94897.54098360655
Gulf of Boothia,1985,74.57555629802873,85.41597059806215,76439.94520547945,87551.3698630137
Gulf of Boothia,1986,85.250387570999,95.2990310725025,87381.64726027397,97681.50684931508
Gulf of Boothia,1988,79.84564269530283,90.32053845128614,81841.7837626854,92578.5519125683
Gulf of Boothia,1989,80.85035750083529,90.36418309388573,82871.61643835617,92623.28767123287
Gulf of Boothia,1990,86.1488138990979,95.09689274974941,88302.53424657535,97474.31506849315
Gulf of Boothia,1991,80.55284998329435,93.0370865352489,82566.67123287672,95363.01369863014
Gulf of Boothia,1992,87.1806544049047,97.51432760229243,89360.17076502732,99952.18579234973
Gulf of Boothia,1993,81.35560975609756,94.09455395923821,83389.5,96446.91780821918
Gulf of Boothia,1994,80.67536919478783,91.0374206481791,82692.25342465754,93313.35616438356
Gulf of Boothia,1995,81.24064817908453,93.68860674908119,83271.66438356164,96030.82191780822
Gulf of Boothia,1996,76.542856190857,89.02272424363588,78456.42759562841,91248.29234972678
Gulf of Boothia,1997,79.67722018042099,91.97794854660874,81669.1506849315,94277.39726027397
Gulf of Boothia,1998,71.31724022719679,83.2425659873037,73100.17123287672,85323.6301369863
Gulf of Boothia,1999,76.7261075843635,88.03708653524892,78644.2602739726,90238.01369863014
Gulf of Boothia,2000,77.22669598827136,88.52459016393442,79157.36338797814,90737.70491803279
Gulf of Boothia,2001,75.09610424323421,86.8376211159372,76973.50684931508,89008.56164383562
