date,region,ice_coverage,total_water_pixel_count,valid_water_pixel_count,total_pixel_area_km2,total_water_area_km2,valid_water_area_km2,absolute_ice_area_km2,relative_ice_area_km2,absolute_coverage_percent_of_water,relative_coverage_percent_of_water
1996-12-18,Gulf of Boothia,,164.0,164.0,102500.0,96784.76420999649,102500.0,102500.0,96400.0,100.0,94.04878048780488
1996-12-18,Foxe Basin,,341.0,341.0,213125.0,209012.1625774843,213125.0,213125.0,181542.5,100.0,85.18123167155424
1996-12-18,Hudson Strait,,303.0,303.0,189375.0,180206.42215591343,189375.0,143750.0,74065.0,75.9075907590759,39.11023102310231
1996-12-18,Gesamtregion,,2285.0,2285.0,1428125.0,1330611.2353663843,1428125.0,1296875.0,1048962.5,90.80962800875274,73.45032822757112
1996-12-15,Hudson Bay,,1475.0,1475.0,921875.0,843708.7275383349,921875.0,803750.0,577240.0,87.1864406779661,62.615864406779664
1996-12-15,Gulf of Boothia,,164.0,164.0,102500.0,96784.76420999649,102500.0,102500.0,93720.0,100.0,91.43414634146342
1996-12-15,Foxe Basin,,341.0,341.0,213125.0,209012.1625774843,213125.0,213125.0,173917.50000000003,100.0,81.6035190615836
1996-12-15,Hudson Strait,,303.0,303.0,189375.0,180206.42215591343,189375.0,140000.0,54782.49999999999,73.92739273927393,28.928052805280522
1996-12-15,Gesamtregion,,2285.0,2285.0,1428125.0,1330611.2353663843,1428125.0,1259375.0,899659.9999999999,88.18380743982495,62.99588621444201
1996-12-08,Hudson Bay,,1475.0,1475.0,921875.0,843708.7275383349,921875.0,631875.0,374722.5,68.54237288135593,40.64786440677966
1996-12-08,Gulf of Boothia,,164.0,164.0,102500.0,96784.76420999649,102500.0,102500.0,97027.5,100.0,94.6609756097561
1996-12-08,Foxe Basin,,341.0,341.0,213125.0,209012.1625774843,213125.0,213125.0,181375.0,100.0,85.10263929618769
1996-12-08,Hudson Strait,,303.0,303.0,189375.0,180206.42215591343,189375.0,136250.0,56722.5,71.94719471947195,29.952475247524752
1996-12-08,Gesamtregion,,2285.0,2285.0,1428125.0,1330611.2353663843,1428125.0,1085000.0,710567.5000000001,75.97374179431073,49.75527352297594
1996-12-31,Hudson Bay,,1475.0,1475.0,921875.0,843708.7275383349,921875.0,920000.0,899654.9999999999,99.79661016949153,97.58969491525423
1996-12-31,Gulf of Boothia,,164.0,164.0,102500.0,96784.76420999649,102500.0,102500.0,99795.0,100.0,97.3609756097561
